Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.07605897610790688,0.10883162151390675,nan,705.3387512592171,0.16698919225777026,0.213916721684536,nan,284.4741245191586,0.01831866502761841,0.002477564510662911
0.1,DP-KMeans,0.4852021615956759,0.5697415549488628,0.4511836814399416,6.737031013118691,0.16777000162127412,0.16678007638178793,0.22002392617980165,1.8158744726072356,0.008648049831390382,0.0007119732771881663
0.5,DP-GRAMS-C,0.5942913736387805,0.6864038313776734,0.499491526027222,5.627626890664824,0.09296494022015218,0.06939328502326896,0.0837142845132676,3.026138777064554,0.017654681205749513,0.00015033609925997645
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,0.327383679012691,6.528380658054388,0.22522980128528206,0.2303587134608936,0.24216837264620256,2.0235961749465736,0.008435201644897462,0.0005449588029193656
1,DP-GRAMS-C,0.670361547130598,0.7176765540108745,0.4897859525161012,1.4648391993955499,0.10756579344727135,0.0735664911950396,0.041891607156333464,0.822144850631984,0.017725253105163576,0.00018627344601953284
1,DP-KMeans,0.5019893179696486,0.5887969695327985,0.3754919831057481,5.534359772084466,0.14600826146165147,0.16214195939343676,0.19061864966513878,1.7546451391997995,0.00807281732559204,0.0007595671700481517
2,DP-GRAMS-C,0.727456389868481,0.736956577972152,0.49388940402878534,0.5579011952881479,0.09341968444850729,0.0726242926974891,0.057643864394876315,0.25085942359666563,0.017697489261627196,0.00014785216694297308
2,DP-KMeans,0.5318923519355562,0.6182623515429918,0.46806517411294735,4.01179705872862,0.11182459756047565,0.10512738064428004,0.14286329834736697,1.750821099014182,0.00790870189666748,0.0007220260715693501
5,DP-GRAMS-C,0.7611699190404243,0.7538831425740271,0.5191528048583215,0.2861225512890409,0.050972953297162026,0.04303733057666172,0.009429909705860794,0.0673506833267307,0.017690598964691162,0.00015868761596694148
5,DP-KMeans,0.5862859667752013,0.6775181827053869,0.5164440996979545,2.227098015744368,0.09791194245111365,0.07204103421067551,0.11078302211283454,1.5790131913218561,0.007652366161346435,0.0008573550538781672
10,DP-GRAMS-C,0.7786619080752475,0.7685121931876805,0.521366642665034,0.24512486965154406,0.03363255320266974,0.033368073411259976,0.005791804334516744,0.029666498065645027,0.017644500732421874,0.0001474641233834491
10,DP-KMeans,0.6525806302252597,0.7078866502543049,0.533785021223778,0.9474643370243886,0.09533372055532485,0.061914103240096365,0.08425537984467076,1.1842336148082448,0.007600808143615722,0.0008539467867465157
